Subject,succesfull,age,gender,career,semester,last_semester,social,dad_career,mom_career,earns,Treatment,Answer_agree_driver_sanction,The_phrase_you_look_prettier_when_you_are_quiet_means_to_you,why_did_you_decide_to_study_the_career_you_are_studying?
CC32,2,16,Masculino,Administracion,1,0,Estrato 3,Bachillerato,Bachillerato,Menor a 99.999,0,8,Que a veces la gente habla de mas y queda mal ante los otros,Se destaca en la materia
"CC33,1,23,Femenino,Economia,8,1,Estrato 1,Bachillerato,Bachillerato,Menor a 99.999,0,0,Que a veces la gente habla de mas y queda mal ante los otros,""Interes social, politico y economico"""
"CC34,1,18,Femenino,Economia,2,0,Estrato 4,Titulo Universitario ,Titulo Universitario ,Menor a 99.999,0,3,Que a veces la gente habla de mas y queda mal ante los otros,""Interes social, politico y economico"""
CC35,2,16,Masculino,Contabilidad,1,0,Estrato 3,Bachillerato,Tecnico o Tecnologo ,Menor a 99.999,0,0,Que a veces la gente habla de mas y queda mal ante los otros,Le gusta la carrera
CC36,1,17,Masculino,Administracion,1,0,Estrato 4,Maestria,Titulo Universitario ,Entre 300.001 a 500.000,0,0,Que a veces la gente habla de mas y queda mal ante los otros,Se destaca en la materia
CC37,4,16,Femenino,Finanzas,1,0,Estrato 4,Especializacion,Maestria,Entre 100.000 a 300.000,0,0,Que a veces la gente habla de mas y queda mal ante los otros,Oferta en el mercado laboral
CC38,4,21,Femenino,Administracion,10,1,Estrato 5,Bachillerato,Especializacion,Entre 500.001 a 800.000,0,10,Que hay ciertas cosas de las que la gente no deberia enterarse,Le gusta la carrera
CC39,2,20,Femenino,Administracion,8,1,Estrato 4,Especializacion,Titulo Universitario ,Menor a 99.999,0,1,Que a veces la gente habla de mas y queda mal ante los otros,Se destaca en la materia
"CC40,3,18,Masculino,Administracion,7,1,Estrato 4,Bachillerato,Tecnico o Tecnologo ,Entre 500.001 a 800.000,0,0,Que hay ciertas cosas de las que la gente no deberia enterarse,""Interes social, politico y economico"""
CC41,3,16,Femenino,Contabilidad,1,0,Estrato 2,Tecnico o Tecnologo ,Titulo Universitario ,Entre 300.001 a 500.000,0,0,Que a veces la gente habla de mas y queda mal ante los otros,Se destaca en la materia
CC42,3,22,Femenino,Administracion,7,1,Estrato 6,Titulo Universitario ,Titulo Universitario ,Entre 100.000 a 300.000,0,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Oferta en el mercado laboral
CC43,2,20,Femenino,Economia,7,1,Estrato 3,Especializacion,Tecnico o Tecnologo ,Entre 100.000 a 300.000,0,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Se destaca en la materia
CC44,2,17,Femenino,Contabilidad,1,0,Estrato 1,Especializacion,Especializacion,Menor a 99.999,0,5,Que a veces la gente habla de mas y queda mal ante los otros,Le gusta la carrera
CC45,3,20,Femenino,Administracion,9,1,Estrato 6,Maestria,Titulo Universitario ,Entre 300.001 a 500.000,0,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Oferta en el mercado laboral
"CC46,4,21,Masculino,Administracion,10,1,Estrato 6,Maestria,Titulo Universitario ,Entre 800.001 a 1.000.000,0,1,Que a veces la gente habla de mas y queda mal ante los otros,""Interes social, politico y economico"""
"CC47,3,24,Masculino,Economia,8,1,Estrato 6,Maestria,Titulo Universitario ,Mayor a 1.300.001,0,0,Que a veces la gente habla de mas y queda mal ante los otros,""Interes social, politico y economico"""
"CC48,2,18,Masculino,Economia,1,0,Estrato 3,Bachillerato,Titulo Universitario ,Entre 100.000 a 300.000,0,2,Que a veces la gente habla de mas y queda mal ante los otros,""Interes social, politico y economico"""
"IP1,2,18,Masculino,Economia,2,0,Estrato 4,Tecnico o Tecnologo ,Titulo Universitario ,Entre 300.001 a 500.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,""Interes social, politico y economico"""
IP2,1,23,Masculino,Economia,10,1,Estrato 3,Titulo Universitario ,Titulo Universitario ,Entre 500.001 a 800.000,1,2,Que a veces la gente habla de mas y queda mal ante los otros,Le gusta la carrera
IP3,3,17,Femenino,Administracion,2,0,Estrato 2,Titulo Universitario ,Tecnico o Tecnologo ,Entre 300.001 a 500.000,1,6,Que hay ciertas cosas de las que la gente no deberia enterarse,Le gusta la carrera
IP4,1,24,Masculino,Administracion,8,1,Estrato 6,Bachillerato,Titulo Universitario ,Entre 800.001 a 1.000.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Oferta en el mercado laboral
IP5,2,22,Femenino,Administracion,8,1,Estrato 3,Titulo Universitario ,Titulo Universitario ,Entre 100.000 a 300.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,Oferta en el mercado laboral
"IP6,4,18,Femenino,Economia,3,0,Estrato 3,Bachillerato,Especializacion,Entre 100.000 a 300.000,1,1,Que hay ciertas cosas de las que la gente no deberia enterarse,""Interes social, politico y economico"""
"IP7,4,21,Femenino,Administracion,9,1,Estrato 3,Titulo Universitario ,Maestria,Mayor a 1.300.001,1,3,Que hay ciertas cosas de las que la gente no deberia enterarse,""Interes social, politico y economico"""
"IP8,4,18,Masculino,Administracion,2,0,Estrato 4,Doctorado,Especializacion,Entre 500.001 a 800.000,1,1,Que a veces la gente habla de mas y queda mal ante los otros,""Interes social, politico y economico"""
IP9,3,18,Femenino,Administracion,1,0,Estrato 3,Especializacion,Especializacion,Entre 300.001 a 500.000,1,0,Que a veces la gente habla de mas y queda mal ante los otros,Oferta en el mercado laboral
"IP10,2,24,Femenino,Economia,9,1,Estrato 6,Titulo Universitario ,Tecnico o Tecnologo ,Entre 500.001 a 800.000,1,1,Que a veces la gente habla de mas y queda mal ante los otros,""Interes social, politico y economico"""
"IP11,2,23,Masculino,Economia,8,1,Estrato 4,Maestria,Titulo Universitario ,Entre 300.001 a 500.000,1,0,Que hay ciertas cosas de las que la gente no deberia enterarse,""Interes social, politico y economico"""
"IP12,2,20,Masculino,Economia,8,1,Estrato 4,Titulo Universitario ,Tecnico o Tecnologo ,Entre 500.001 a 800.000,1,0,Que a veces la gente habla de mas y queda mal ante los otros,""Interes social, politico y economico"""
IP13,3,20,Femenino,Economia,8,1,Estrato 6,Doctorado,Maestria,Entre 300.001 a 500.000,1,2,Que hay ciertas cosas de las que la gente no deberia enterarse,Oferta en el mercado laboral
IP14,0,19,Masculino,Administracion,3,0,Estrato 4,Titulo Universitario ,Titulo Universitario ,Menor a 99.999,1,3,Que hay ciertas cosas de las que la gente no deberia enterarse,Oferta en el mercado laboral
IP15,2,21,Femenino,Administracion,8,1,Estrato 6,Maestria,Especializacion,Entre 500.001 a 800.000,1,0,Que a veces la gente habla de mas y queda mal ante los otros,Le gusta la carrera
"IP16,3,21,Masculino,Economia,8,1,Estrato 5,Especializacion,Especializacion,Entre 1.000.001 a 1.300.000,1,5,Que hay ciertas cosas de las que la gente no deberia enterarse,""Interes social, politico y economico"""
IP17,3,17,Masculino,Administracion,1,0,Estrato 4,Especializacion,Titulo Universitario ,Entre 300.001 a 500.000,1,2,Que hay ciertas cosas de las que la gente no deberia enterarse,Se destaca en la materia
